Tanggal;Harga
26/05/2022;988000
27/05/2022;988000
28/05/2022;986000
29/05/2022;986000
30/05/2022;985000
31/05/2022;983000
01/06/2022;979000
02/06/2022;984000
03/06/2022;989000
04/06/2022;979000
05/06/2022;979000
06/06/2022;980000
07/06/2022;976000
08/06/2022;981000
09/06/2022;983000
10/06/2022;984000
11/06/2022;995000
12/06/2022;995000
13/06/2022;996000
14/06/2022;986000
15/06/2022;984000
16/06/2022;994000
17/06/2022;999000
18/06/2022;999000
19/06/2022;999000
20/06/2022;999000
21/06/2022;999000
22/06/2022;993000
23/06/2022;999000
24/06/2022;992000
25/06/2022;992000
26/06/2022;992000
27/06/2022;994000
28/06/2022;988000
29/06/2022;988000
30/06/2022;988000
01/07/2022;984000
02/07/2022;991000
03/07/2022;991000
04/07/2022;989000
05/07/2022;989000
06/07/2022;977000
07/07/2022;969000
08/07/2022;969000
09/07/2022;969000
10/07/2022;969000
11/07/2022;969000
12/07/2022;966000
13/07/2022;964000
14/07/2022;967000
15/07/2022;962000
16/07/2022;962000
17/07/2022;962000
18/07/2022;963000
19/07/2022;961000
20/07/2022;963000
21/07/2022;957000
22/07/2022;965000
23/07/2022;970000
24/07/2022;970000
25/07/2022;969000
26/07/2022;966000
27/07/2022;966000
28/07/2022;978000
29/07/2022;982000
30/07/2022;982000
31/07/2022;982000
01/08/2022;980000
02/08/2022;984000
03/08/2022;978000
04/08/2022;983000
05/08/2022;998000
06/08/2022;989000
07/08/2022;989000
08/08/2022;987000
09/08/2022;996000
10/08/2022;995000
11/08/2022;995000
12/08/2022;990000
13/08/2022;990000
14/08/2022;990000
15/08/2022;988000
16/08/2022;980000
17/08/2022;980000
18/08/2022;975000
19/08/2022;974000
20/08/2022;972000
21/08/2022;972000
22/08/2022;971000
23/08/2022;968000
24/08/2022;972000
25/08/2022;972000
26/08/2022;972000
27/08/2022;964000
28/08/2022;964000
29/08/2022;962000
30/08/2022;965000
31/08/2022;957000
01/09/2022;949000
02/09/2022;947000
03/09/2022;952000
04/09/2022;952000
05/09/2022;951000
06/09/2022;955000
07/09/2022;946000
08/09/2022;950000
09/09/2022;947000
10/09/2022;947000
11/09/2022;947000
12/09/2022;947000
13/09/2022;950000
14/09/2022;942000
15/09/2022;942000
16/09/2022;933000
17/09/2022;940000
18/09/2022;940000
19/09/2022;940000
20/09/2022;942000
21/09/2022;937000
22/09/2022;937000
23/09/2022;941000
24/09/2022;932000
25/09/2022;932000
26/09/2022;932000
27/09/2022;930000
28/09/2022;932000
29/09/2022;942000
30/09/2022;945000
01/10/2022;943000
02/10/2022;943000
03/10/2022;945000
04/10/2022;955000
05/10/2022;962000
06/10/2022;957000
07/10/2022;953000
08/10/2022;949000
09/10/2022;949000
10/10/2022;949000
11/10/2022;941000
12/10/2022;941000
13/10/2022;945000
14/10/2022;940000
15/10/2022;935000
16/10/2022;935000
17/10/2022;935000
18/10/2022;940000
19/10/2022;940000
20/10/2022;933000
21/10/2022;936000
22/10/2022;945000
23/10/2022;945000
24/10/2022;946000
25/10/2022;943000
26/10/2022;943000
27/10/2022;948000
28/10/2022;944000
29/10/2022;939000
30/10/2022;939000
31/10/2022;939000
01/11/2022;936000
02/11/2022;944000
03/11/2022;939000
04/11/2022;939000
05/11/2022;954000
06/11/2022;954000
07/11/2022;951000
08/11/2022;950000
09/11/2022;961000
10/11/2022;959000
11/11/2022;974000
12/11/2022;972000
13/11/2022;972000
14/11/2022;970000
15/11/2022;973000
16/11/2022;981000
17/11/2022;981000
18/11/2022;980000
19/11/2022;978000
20/11/2022;978000
21/11/2022;978000
22/11/2022;975000
23/11/2022;977000
24/11/2022;981000
25/11/2022;980000
26/11/2022;981000
27/11/2022;981000
28/11/2022;979000
29/11/2022;977000
30/11/2022;981000
01/12/2022;991000
02/12/2022;1004000
03/12/2022;998000
04/12/2022;998000
05/12/2022;999000
06/12/2022;984000
07/12/2022;984000
08/12/2022;999000
09/12/2022;1003000
10/12/2022;1007000
11/12/2022;1007000
12/12/2022;1005000
13/12/2022;998000
14/12/2022;1013000
15/12/2022;1013000
16/12/2022;1000000
17/12/2022;1008000
18/12/2022;1008000
19/12/2022;1007000
20/12/2022;1004000
21/12/2022;1016000
22/12/2022;1014000
23/12/2022;1004000
24/12/2022;1006000
25/12/2022;1006000
26/12/2022;1006000
27/12/2022;1008000
28/12/2022;1014000
29/12/2022;1012000
30/12/2022;1020000
31/12/2022;1026000
01/01/2023;1026000
02/01/2023;1026000
03/01/2023;1022000
